ids,names,mean,description
24021,Sei Shoujo The Animation,6.71,"Tokisawa Naomi, currently unemployed, is a worthless drunk who can't even pay for his drinking bill of the day before.

Luckily, he has a job offer to be a teacher from a prestigious high-school. While Naomi indeed has a degree in teaching music, that's not why he is offered the job—at all.

Tokisawa Naomi is a renowned pimp and trainer of prostitutes. Though he doesn't simply break the girls; Naomi awakens their secret desires so that they are selling their bodies willingly.

The high-school doubles as a modern place to train prostitutes for the country's upper class. Naomi has to train five students. He accepts but only under the condition that he is free to choose the girls.

(Source: VNDB)"
24023,Project758,,
24029,Shijou Saikyou no Deshi Kenichi Specials,7.28,"A brief summary of Kenichi's new life at Ryouzanpaku. 

Included as a bonus on the DVD volumes of the Shijou Saikyou no Deshi Kenichi OVA."
24031,Denki-gai no Honya-san,7.21,"Umio is a shy kid who just started his part time job at a manga store smack dab in the middle of the city. But his lifestyle isn't as glamorous as the neon lights that illuminate the city. Umio's closest friends are his co-workers who are all unique characters, to say the least, and although they're nice people, they have their quirks. They are a tight knit group of friends, have nicknames for each other and spend their weekends inside, sheltered from the extravagant scene happening on the outside.

(Source: MU)"
24037,Selector Spread WIXOSS,7.38,"Get ready for the thrilling second season of the WIXOSS series! Immerse yourself in a game where special cards called LRIGs—cards that possess personalities and wills of their own—can change your life forever. Teenager Ruko holds one of these rare cards, and if she wins, her wish will be granted. But what happens if she loses?

(Source: FUNimation)"
24041,Jarujio Animal,,The real female idol group PASSPO☆ are the stars of this anime. The PASSPO☆ members are represented as animals and go on flight-attendant adventures. 
24045,Monster ni Natta Domerica,,"In this ""action epic"" set in the run-down slums, the title character Domerica is transformed into a monster one day. 

(Source: ANN)"
24047,Kaseki Dorobou to Kyouryuuseki,,"The dinosaur fantasy revolves around a 12-year-old named Yuta and Gobi — a moving fossil. The two embark on a journey with Yuta's friends to chase a fossil thief and find Gobi's stolen fossil mother. 

(Source: ANN)
"
24049,Kanai,,The story follows two girls who grow up on the island of Okinawa and a boy as they discover a robot.
24051,Interior,,"Centers around the unprofitable artist Sam, the unprofitable playwright Borman, and their friend Greg. The one thing they all have in common is that they are poor. The three decide to enter a contest to earn money — but since they cannot afford to mail their entries, they decide to take the long trip to the competition site to bring their entries in person.
 
(Source: ANN)"
24053,Gunners,,A 3D-CG promotional video for the Gunners manga.
24071,gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,6.28,Movie of gdgd Fairies.
24073,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,,Airing simultaniously as gdgd Fairies Movie.
24075,Persona 4 the Golden Animation,6.62,"Spring. Far from the city, time flows peacefully in this rural town. As the cherry blossoms scatter in the wind, a young man named Yu Narukami steps off the train at Yasoinaba Station. Yu has come to this town, where his uncle lives, for family reasons; he will be transferring into the local high school, Yasogami High. And so begins his school life... The shopping mall after school. A series of murders taking place in town. The Midnight Channel, airing late at night.... What lies in store for Yu and his friends ‘this time around?

(Source: Aniplex USA)"
24085,Shura ga Yuku,,Based on a Yakuza drama manga by Kawabe Yuu and Yamaguchi Masato. 
24087,Be-Bop Kaizokuban,5.88,Based on a parody manga of Be-Bop Highschool.
24089,High School Jingi,,"The impulsive Yakuza Jouji was ordered by his boss to teach at a misfit-filled school. He now has to settle the score with a fated rival while falling head over heels for a colleague in the process.

(Source: AniDB)"
24093,Gorillaman,6.11,"A school comedy about a mute transfer student, Tadashi  Iketo, who is constant­ly shuffled from school to school for his  ""violent nature,"" though he really is a mild-mannered boy constantly taunt­ed into fights over his simian appearance. 

Based on a 1989 manga in  Young Magazine by Harold Sakuishi. 

(Source: The Anime Encyclopedia)"
24109,Tooryanse,5.89,"Another music video from Kousuke Sugimoto and Handsome Kenya. The title of the song comes from the name of an old children's tune sometimes played at crosswalks in Japan. After the tune plays, Handsome Kenya is pulled into a beautiful and strange world."
24121,Patta Potta Monta,,Three monkey brothers from the from an urban city go to live in the countryside. There's no convenience store nor arcades there; truly bare-bones. The story follows their daily lives trying to make friends and have fun amongst the villagers. 
24123,Kaette Kita Top wo Nerae! Kagaku Kouza,5.6,"Extra science lessons included with the Gunbuster Blu-ray Box Complete Edition. These explain how the space ropeway works, and time dilation from near-lightspeed travel."
24127,Hashi no Mukou,5.89,"There are old stories of children disappearing by the river's edge. This has haunted Otoha ever since her friend Jiro disappeared  when she was seven years old and now she is back in her hometown covering the war between the government and the dissidents. When she gets separated from the squad, Otoha thinks someone seems to be leading her deeper into the back alleys of the town."
24133,Taimadou Gakuen 35 Shiken Shoutai,6.87,"In a world plagued by magical dangers and threats, there exist special warriors—known as Inquisitors—who are tasked with non-violently preventing these threats and nefarious actions. The Anti-Magic Academy is a specialized school built to educate and train these Inquisitors, which splits its students into small squads in order to train them to work together. Among these talented squads is the 35th Test Platoon, also known as the ""Small Fry Platoon"" due to its low ranking and incompetent members. 

However, everything changes when Ouka Ootori, a powerful yet rebellious former Inquisitor, is forced into joining due to her tendency to break rules and committing a serious violation: the killing of a witch. Tempers flare upon her arrival, as she clashes with their clumsy captain Takeru Kusanagi and argues with the rest of the squad over her views on witches. This eclectic group has a long way to go if they wish to succeed and climb the ranks at the Anti-Magic Academy: they must first set aside their differences and come to work together as a team.

[Written by MAL Rewrite]"
24135,Nobunaga Concerto,7.59,"""Who cares about what happened in Japan's past? It has nothing to do with my life.""

With these words, carefree high school student Saburou finds himself unceremoniously thrown back in time to the Sengoku Era, landing directly in front of the legendary general Nobunaga Oda. Nobunaga, on the run from his retainers and wishing to rest due to his frailty, beseeches Saburou to take his place, as the two bear an uncanny resemblance. Although Saburou is still confused by his surroundings, Nobunaga hurriedly provides the boy with the necessary items to prove that he is the bona fide feudal lord and makes a hasty getaway.

Now a stand-in for someone he doesn't even know all that much about—though his modern experiences and knowledge are sure to help him—Saburou begins his unexpected quest to pose as the man who attempted to unite all of Japan.

[Written by MAL Rewrite]"
24139,Tokyo Babylon: Vision,5.54,Music video included as a bonus on a Premium Laser Disc release of the Tokyo Babylon OVA.
24151,Ao Haru Ride OVA,7.6,"""Unwritten"" - An episode about Futaba and Kou in middle school. Based on the chapter called ""Unwritten."" also known as chapter 0 or Prologue.

""Page.13"" - An episode that continues the story after the television series's 12th and final episode.

(Source: sakisaka10)"
24159,Kougyou Aika Volley Boys,,"In a mix of Field of Dreams and Ping Pong Club, sex-starved teenage boys at Kudo High School sign up for the girls' volleyball team hoping that if they build it, the girls will come, to a year that has no girls in it at all.

(Source: ANN)"
24169,Detective Conan: The Fugitive Kogorou Mouri,6.96,"File 594 that was never animated. To celebrate Detective Conan Movie 18 premiere, it was animated and streamed on NOTTV.  This is where Kogorou Mouri is the fugitive."
24171,Mushibugyou OVA,7.08,OVAs bundled with the 15-17th volumes of the Mushibugyou manga.
24175,Nozo x Kimi,6.43,"Suga Kimio finds himself hiding in the girls locker room, unable to move or escape the situation as the girls in his school crowd in. Although he originally had no ulterior motives, he found himself panicking as he heard the girls coming in and hid in a locker. Komine Nozomi, one of the shy girls in his class finds him, but surprisingly covers for him. Perplexed but glad, Kimio goes home.

Later that night, he gets a text from Nozomi who happens to live across the way on the same floor of the complex they both live in. She blackmails him into agreeing to show each other's bodies when she texts him. Kimio has to abide by Nozomi's insane demands or risk ruining his school life so they both start their little peep show through each other's windows...

(Source: MangaHelpers)"
24179,Strobe Light,6.08,"Music video for the song ""Strobe Light"" by siinamota."
24181,3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,5.41,"Music video for the song ""3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku"" by siinamota (Shina Mota) from the CD album 'Kokegane no Uta.'
Directed by Kenshiro Morii at Studio Moriken."
24197,E no Umakatta Tomodachi,5.56,"Music video for the song ""E no Umakatta Tomodachi"" by pinocchioP. Collaboration with Pentel Inc."
24199,Oosouji,5.4,"Music video for the song ""Oosouji"" by DECO*27."
24201,Rakugaki Picasso,5.55,"Music video for the song ""Rakugaki Picasso"" by 40mP. Collaboration with Pentel Inc."
24211,Orenchi no Furo Jijou,6.99,"On his way home from school, Tatsumi sees a man collapsed near a lake. When he approaches him, Tatsumi notices something strange: the person in need of help is actually a beautiful merman named Wakasa! Because Wakasa's home has become too polluted to live in, Tatsumi graciously offers his bathtub as a refuge.

With a boisterous merman as his new roommate, Tatsumi's normal life won't be returning anytime soon, not to mention Wakasa's aquatic friends—Takasu, Mikuni, and Maki—often show up uninvited, making them all quite a handful for the high school student. As he humors their curiosity for human life, Tatsumi sometimes finds himself enjoying their childish antics, but he will have to keep his cool if he intends to keep up with his daily life and newfound friendship.

[Written by MAL Rewrite]"
24227,Nisekoi OVA,7.4,"Episodes released on DVDs bundled with the 14th, 16th, and 17th volumes of the Nisekoi manga."
24231,Hitsugi no Chaika: Avenging Battle,7.2,"The search for the remains of Emperor Gaz continues. Chaika still in search of knowing who she really is and what her purpose is. Similarly, the Red Chaika continues the search for the rest of Emperor Gaz's remains. The Gillette corporation continues the mission to catch every last Chaika. In their adventure they give a revealing account kept secret by the Emperor, which Chaika, Fredrica, Toru, and Akari decide to uncover.

(Source: ANN, edited)"
24237,Surprise 4 U.,,"A series of shorts by Production I.G and funded by Acer Japan, which focus on five members of the Sunrise Japan group (not to be confused with the animation studio) of prominent female athletes in celebration of the 2012 Olympics: Yamasaki Shizuyo (boxer/comedian), Hamaguchi Kyouko (wrestler), Itou Satsuki (boxer), Urata Satako (beach volleyball player), and Nishibori Takemi (beach volleyball player).

(Source: AniDB)"
24257,Heisei no Cinderella: Kiko-sama Monogatari,,The special is confined to the wedding of Prince Akishino with his chosen Kiko Kawashima.
24259,Mechano: Scientific Attack Force,,"Three 10-minute videos present a trippy view into the minds of their creators. Brought together by Pierre Taki of Denki Groove, Mechano: Scientific Attack Force features three shorts done in very different styles.

The three short films are:

""Plastic Gun Man"" - a 3D Western spoof
""World Meccano Triangle"" - a music video reminiscent of '90s era screensavers
""Haiirogaoka no Soridaijin"" (translated as ""Prime Minister of Gray Hill"") - an anime-style animated video parody of Akira Mochizuki's famous 1977 manga, Yuuhi ga Oka no Souri Daijin"
24261,Hitsugi no Chaika OVA,7.01,Unaired anime-original OVA bundled with 12th volume of the Hitsugi no Chaika novel.
24269,Chiisana Kyojin Microman: Daigekisen! Microman vs. Saikyou Senshi Gorgon,,
24271,Paizuri Cheerleader vs. Sakunyuu Ouendan!,6.68,"Based on the erotic game by Marine. 

Shin belongs to a cheer group. Though he wasn't interested in it, Yuko, his older sister, forced him to join it... As a matter of fact, there are only two members, Shin and Yuko. On the other hand, a cheerleading club has a lot of members. One day, Shin accidentally collides with Chieru, a member of the cheerleading club, and she gets injured... In compensation for her injury, he decides to work as a caretaker of the cheerleading club. But days later, Satsuki, a coach of the cheerleading club, suddenly orders the members, ""You should give him a titjob to overcome your sense of shame!"" As they are all confused, Satsuki starts giving Shin a titjob...!

(Source: VNDB)"
24273,Iinari! Saimin Kanojo,6.34,"Based on an adult PC game by Courreges Ace. 

Takuma has a crush on Megumi, but is unable to confess or date her. When browsing on his phone, he comes across a hypnosis program and decides to try it. Could this be the thing to bring him closer to Megumi? Perhaps it will make her simply obey, which could be a lot of fun too..."
24275,Medamayaki no Kimi Itsu Tsubusu?,5.98,"Based on the same name gourmet manga that focuses on the dining of cuisine. The protagonist Jirou Tamiyamaru is more obssessed with how to eat than most people, and the anime comically depicts how he agonizes over the differences with how others eat.

(Source: ANN)"
24277,Yowamushi Pedal: Grande Road,8.1,Second season of the Yowamushi Pedal series.
24315,PoPo Loouise,5.61,"Music Video for a song by the Kuricorder Quartet and UA, shown in the NHK's program 'Minna no Uta'."
24317,Love Colon,6.51,Based on the adult manga by emily.
24321,Hoka Hoka Oden no Uta,5.47,Music video about Japanese oden.
24327,Oyome-sama Honey Days♥,5.99,Anime adaptation of an adult manga by TANA.
24347,Inazuma Eleven: Chou Jigen Dream Match,6.93,A new movie featuring a match between fan-voted members of the Inazuma Best Eleven team and the special Battle Eleven team.
24355,Gaia Getter A-kun,,"Far away from our solar system there is a 3rd planet of another called Mangana. A Queen rules it with an iron fist. The first Prince, A-kun, is nothing but naughty kid and so the Queen gives him the task of invading Earth to prove his worth. A-kun comes in tow with his semi-forced attendants and hijinks ensue."
24357,Mokkai Shiyo?,6.39,Based on the adult manga by Yokoyari Mengo.
24363,Kitsune to Circus,5.26,"A fox steal the world's most valuable diamond and buries it under a tree, believing it to be well-hidden. The next day, a circus arrives and sets up its tent next to the tree, its animals unwittingly digging up the diamond they believe to be just a worthless rock. They soon lose the diamond inside the circus and the desperate fox attempts to retrieve the stolen diamond before the other animals realise what they have.

(Source: AniDB)"
24365,Tonari no Seki-kun Specials,7.46,"Two unaired episodes included in the DVD Set release of Tonari no Seki-kun series.

#1. Field Trip (Rinkan Gakkou) (first volume)
#2. Snow Playing (Yuki Asobi) (second volume)"
24371,Mobile Suit Gundam Unicorn: Episode EX - 100 Years of Solitude,6.69,"Recap of Mobile Suit Gundam, Mobile Suit Zeta Gundam, Mobile Suit Gundam ZZ and Mobile Suit Gundam: Char's Counterattack focusing on Newtype and Zeonism ideals told before UC episode 7.

Included as a bonus on a Volume 7 Blu-ray release of the Mobile Suit Gundam Unicorn OVA."
24373,Bakabon Osomatsu no Karee wo Tazunete Sansenri,,
24377,Spocon!,6.92,"Tatsuya excelled at all sports during his school years. Now instead of being an athlete, he trains to be a coach at his former teacher's school Academy Josho. However, the leader of the swimming club Katsumi tried to seduce him in order to improve her results by any means. He opposed her actions, but could it be that the elite players from other clubs also have the same plan!?

(Source: Hau~ Omochikaeri!)"
24403,Nyanpuku Nyaruma,,Follows twin cats who wish to make others happy and their strange friends.
24405,World Trigger,7.58,"When a gate to another world suddenly opens on Earth, Mikado City is invaded by strange creatures known as ""Neighbors,"" malicious beings impervious to traditional weaponry. In response to their arrival, an organization called the Border Defense Agency has been established to combat the Neighbor menace through special weapons called ""Triggers."" Even though several years have passed after the gate first opened, Neighbors are still a threat and members of Border remain on guard to ensure the safety of the planet.

Despite this delicate situation, members-in-training, such as Osamu Mikumo, are not permitted to use their Triggers outside of headquarters. But when the mysterious new student in his class is dragged into a forbidden area by bullies, they are attacked by Neighbors, and Osamu has no choice but to do what he believes is right. Much to his surprise, however, the transfer student Yuuma Kuga makes short work of the aliens, revealing that he is a humanoid Neighbor in disguise.

[Written by MAL Rewrite]"
24415,Kuroko no Basket 3rd Season,8.32,"Following their triumph against Yousen High, Seirin's basketball team has reached the semifinals of the Winter Cup along with Kaijou, Rakuzan, and Shuutoku. Each of these teams possesses a member of the Generation of Miracles, and Seirin prepares to face the largest obstacles on their path to winning the Winter Cup.
 
In the final season of Kuroko no Basket, Kuroko goes head-to-head with his old teammates once more as he attempts to show them that individual skill is not the only way to play basketball. His firm belief that his form of basketball, team play, is the right way to play the sport will clash with the talents of a perfect copy and an absolute authority.

While Kuroko tries to prove that his basketball is ""right,"" he and the rest of Seirin High ultimately have one goal: to win the Winter Cup and overcome the strength of the Generation of Miracles, who have long dominated the scene of middle and high school basketball.

[Written by MAL Rewrite]"
24417,Maido! Urayasu Tekkin Kazoku,6.22,Sequel to the Urayasu Tekkin Kazoku anime and adaptation of the manga of the same name. The series follows an energetic grade-schooler and his friends as they get into mischief.
24429,Daze,7.21,"daze  is the opening theme of Mekakucity Actors performed by MARiA from GARNiDELiA. The song was composed by Shizen no Teki-P (a.k.a. Jin) and a PV for the anime was illustrated and directed by Shidu. The full song was released on May 29, 2014 by Jin.

(Source: Kagerou Project Wikia)"
24437,World Fool News,5.55,"Takahashi is transferred to a main anchor of a news program, which is known for being a little...weird. This is a comedy about somewhat ridiculous happenings occurring at a broadcasting station.

(Source: YouTube)"
24439,Kekkai Sensen,7.63,"Supersonic monkeys, vampires, talking fishmen, and all sorts of different supernatural monsters living alongside humans—this has been part of daily life in Hellsalem's Lot, formerly known as New York City, for some time now. When a gateway between Earth and the Beyond opened three years ago, New Yorkers and creatures from the other dimension alike were trapped in an impenetrable bubble and were forced to live together. Libra is a secret organization composed of eccentrics and superhumans, tasked with keeping order in the city and making sure that chaos doesn't spread to the rest of the world.

Pursuing photography as a hobby, Leonardo Watch is living a normal life with his parents and sister. But when he obtains the ""All-seeing Eyes of the Gods"" at the expense of his sister's eyesight, he goes to Hellsalem's Lot in order to help her by finding answers about the mysterious powers he received. He soon runs into Libra, and when Leo unexpectedly joins their ranks, he gets more than what he bargained for. Kekkai Sensen follows Leo's misadventures in the strangest place on Earth with his equally strange comrades—as the ordinary boy unwittingly sees his life take a turn for the extraordinary.

[Written by MAL Rewrite]"
24441,Shiden Pilot,,"Described as a ""modern car racing anime for tween and teen audiences."" Though intended to be a television series, several problems led to the project's cancellation after the creation of a 30-minute pilot. The single episode was presented at the 2004 Tokyo Anime Fair.

(Source: ANN)"
24443,Peeping Life: Shinkon-chan Kansai ni Irasshai,5.26,"The newlyweds have moved to the Kansai region! For now they've settled down, but their room is still a huge mess. They also realize that they've been wasting a lot of electricity, and they begin to ponder ways to cut back on their bills...

(Source: Anime Bancho)"
24447,Wagahai wa Inu de Aru: Don Matsugorou no Seikatsu,,"Mr. Matsuzawa is a novelist who lives in Chiba Prefecture. Only his daughter Kazuko knows that the family dog, Don Matsugorou, can talk. Don is wounded in a fight with the neighbors' dog, King, a nouveau-riche mongrel with ideas above his station. At the vet, however, he falls in love with a little patchwork puppy called Chotaro.

(Source: The Anime Encyclopedia)"
24451,Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,6.74,Bundled with the 11th volume of Kanojo ga Flag wo Oraretara light novel.
24453,Fetikano!,6.49,"While walking home one day, Shuu encountered Hime, a beautiful girl who walked out of a flower shop—it was love at first sight. In the present, Shuu and Hime live together as a couple. Every day, Shuu comes up with a new lewd activity to try out with his girlfriend—and while Hime intends to always act like a victim, she enjoys all the kinks just as much as he does.

[Written by MAL Rewrite]"
24455,Madan no Ou to Vanadis,7.16,"In a fantasy version of Europe, a war between enemy countries is brewing. One of these countries, Zhcted, has its seven regions ruled by War Maidens, known as Vanadis. Equipped with powerful dragon-carved weapons, Eleonora ""Elen"" Viltaria, one of the Vanadis, launches an invasion against their neighboring rival country of Brune. Eventually, Tigrevurmud ""Tigre"" Vorn, a young archer and an earl for Brune's region of Alsace, has his entire army decimated at Elen's hands. In a strange twist of events, Elen spares Tigre, and gives him the order, ""Become mine!"" What could be the meaning behind this new alliance?

Adapted from the light novel written by Tsukasa Kawaguchi, Madan no Ou to Vanadis is an epic adventure filled with complex war tactics and beautiful women. Trapped in a multinational conflict, Tigre and Elen are swept up in a war filled with dark secrets, conspiracies, and corruption.

[Written by MAL Rewrite]"
24457,Houkago no Ouji-sama,6.9,Flash anime specials bundled with the New Prince of Tennis OVA.
24459,Tales of Zestiria: Doushi no Yoake,7.4,TV anime special of Bandai Namco Games' Tales of Zestiria role-playing game.
24465,Heli-Tako Puu-chan,,Based on the manga by Sasaki Takemaru.
24469,Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,7.3,"The two part finale of Buddy Complex television series deals with the final battle between the Free Treaty Alliance and the space division of Zogiria, lead by an elderly Bizon, as Earth and time itself hang in the balance."
24471,Hoozuki no Reitetsu OVA,7.87,"Bundled with the limited editions of 17th, 18th, 19th, and 24th volumes of the Hoozuki no Reitetsu manga."
24475,Mangaka-san to Assistant-san to The Animation Specials,7.22,Specials released with the Blu-ray/DVD volumes.
24489,Koha Ginjiro,,"After the death of his elder brother, Ginjiro Yamazaki appoints himself his parents' protector. After transferring to a new school, he gets into a lot of fights.

(Source: The Anime Encyclopedia)"
24501,Inui-san!,,"Included in the Ciao Ciao TV bonus DVD that bundled with the  issues of the Ciao magazine.

(Source: AniDB)"
24527,Yomigaeru Sora Pilot,6.18,"Yomigaeru Sora was initially supposed to have a female protagonist with sharper animation. Due to Yuji Matsukura (J.C.Staff Executive Officer, Head of Production), Katsushi Sakurabi (Director), and Fumihiko Takayama (Series Composition) outvoting Kiyoshi Sugiyama (Producer), the story was changed to have a male protagonist with simpler animation.

Sakurabi's original idea for the anime was made into pilot and the pilot was included with the 7th volume of the Limited Edition DVD Box Set."
24531,Ane Log: Moyako Neesan no Tomaranai Monologue,6.11,"When Konoe Moyako and her little brother, Akira, were young, he said he wanted to marry her. Naturally, Moyako decided that her little brother was a complete pervert who was obsessed with her. Now that they're both teenagers, Moyako is convinced she needs to ""rehabilitate"" him. However, it seems that the ""perversion"" is entirely in her imagination, and she can't seem to help turning completely innocent situations into creepy ones in her mind!

(Source: MU)

Bundled with the limited edition 5th, 6th, and 7th manga volumes."
24543,Persona 3 the Movie 3: Falling Down,7.61,"As the fall season nears its end, Chidori Yoshino, a member of Strega, abducts Junpei Iori. Meanwhile, Makoto Yuuki and the Specialized Extracurricular Execution Squad (SEES) annihilate the Arcana Hanged Man. Soon after, a mysterious playboy named Ryouji Mochizuki transfers into Gekkoukan High School's Class 2-F.

Supposedly having achieved their goal, the members of SEES believe they are free from the battle that has ruthlessly stolen away the lives of their loved ones. And yet, Tartarus and the Dark Hour continue to exist, undeterred by the extermination of the twelfth Shadow. Distraught by their apparent failure, SEES must cope with their personal struggles and discover whose sake they fight for. As Makoto and Junpei's journeys of self-discovery progress, Ryouji's identity and the reason behind Aegis's hate for him become clear.

[Written by MAL Rewrite]
"
24549,Naniwabushi Daisuki,,"Two stories that mix animation with naniwabushi (storytelling accompanied by shamisen playing). One is a tale of General Nogi, the famous suicide, visiting the shrines at lse on his way to Nagoya, while his wife is mistaken for a commoner as she books into a hotel.

The second story is of a sumo wrestling trainee, ridiculed by his fellows, who trains hard and avenges himself-the standard cliches of a sports anime, just with plink-plonky music on top of it.

(Source: The Anime Encyclopedia)"
24573,Neko to Nezumi,,It is most likely a short story about a cat and a mouse.
