ids,names,mean,description
11511,Bouei Honou / Evidence,5.53,"Second single release from Daisy x Daisy featuring intro theme of anime series Fairy Tail. Includes illustrations and a DVD with music video of ""Boei Honno"".

(Source: cdjapan.co.jp)"
11521,Hello Kitty: Ringo no Mori no Fantasy,5.91,"Kitty and Mimmy come upon the Apple Forest thanks to the help of a forest fairy. The fairy kingdom welcomes them as the ""Twin Heroines"" and ask that they save the princess. The key to the rescue is a golden apple and so the sisters' adventure beings."
11523,Shiofuki Mermaid,6.32,"Based on the eroge by Marine.

Makoto is an ordinary university student who often visits a nearby swimming pool to swim and watch women in swimsuits. One day, he is asked to teach Marina how to swim. It seems she can't swim at all. While he touches her body, he gets an erection. Marina notices it, and gives him a blowjob. When he touches her vagina, she cries out in pleasure and achieves female ejaculation. His unknown erotic ability comes into bloom! Make all women—from a university student to a married woman—ejaculate with your fingers!

(Source: ErogeShop)"
11525,Mamimume★Mogacho,,"The wild Mogacho creates havoc on Puri Puri Island. It's a fun-filled show about his adventures with his delightful friends.

(Source: CDJapan)"
11531,Un-Go: Inga-ron,7.59,Prequel film of UN-GO telling the encounter of Shinjuurou and Inga.
11533,Momotarou Densetsu,,"No synopsis has been added for this series yet.

Click here to update this information."
11537,Yamatarou Kaeru,6.04,"After having lost his parents, Yamatarou, a bear, is raised by a man. Yamatarou's friend is Shi-roku, a steam locomotive, and Yamatarou learns to impersonate the whistle of the locomotive. This is a story for nursery school kids about the friendship between the bear and the steam locomotive. The quality pictures render a sense of warmth to the reader.

(Source: ANN)"
11541,Ad Lib Anime Kenkyuujo,,"Emiri Katou and Kaori Fukuhara, the voice actresses best known for playing the Hiiragi twins in Lucky Star, will headline Ad Lib Anime Kenkyūsho (Ad Lib Anime Laboratory), an experimental anime series which will premiere on the satellite channel BS Fuji on October 15.

Katou (as ""Chief Researcher No. 001""), Fukuhara (""Chief Researcher No. 002""), and a guest star ""researcher"" will ad lib each weekly episode's script entirely from scratch. Animators will then take the ad-libbed dialogue and create footage based on them — instead of the castmembers voice-acting to existing scripts and footage, as most anime are made.

(Source: ANN)"
11543,Hate You,5.96,"Animated music video of the song ""HATE YOU"" by the Korean pop group 2NE1."
11545,Happyakuyachou Hyouri Kewaishi,,"Set in early 1900s Tokyo, its story is about a makeup artist named Kosannba. All the women desire to have their make up done by Kosannba because he is the best. He also manages to get intertwined into the lives of many women and proceeds to work out their various problems.

(Source: MU)"
11547,Sengoku☆Paradise Kiwami,6.06,"Based on the online mobile phone otome game ""Sengoku☆Paradise"".

The first 3 minutes of the 10 minute spot for Sengoku☆Paradise Kiwami is the anime. The rest of the 7 minutes is of Sengoku☆Paradise Kiwami cast members Daisuke Namikawa and others (first time with Tetsuya Kakihara, second time with Rei Mochizuki) going on missions, plus an informative short."
11553,Toradora!: Bentou no Gokui,7.45,"An unaired episode included in the Blu-ray box set.

Yuusaku brings an extravagant bento box to share with the class, which makes Ryuuji feel inferior about his own bento making skills. Desperate to beat his bentos, Ryuuji obsessively tries to compete against them to the point where he even brings a rice cooker to school. After Taiga brings him some salty onigiri, Ryuuji realises that the true meaning of bentos is not the taste, but the feelings that are put into it.

(Source: Wikipedia)"
11561,Sougen no Ko Tenguri,6.08,"The story surrounds a boy and a cow who have always lived their lives together. One winter, a famine strikes their village. The villagers resolve to the cow, but the boy secretly helped the cow escape. A few years ago, the boy (now grown-up) and the cow meet again...

(Source: AniDB)"
11569,Precure All Stars DX the Dance Live♥: Miracle Dance Stage e Youkoso,6.94,"Precure All-Stars DX the Dance Live: Miracle Dance Stage e Youkoso is an all-in-3D dance production featuring the Pretty Cures from seasons Futari wa Pretty Cure Max Heart through to Suite Pretty Cure♪ (sans Cure Muse). 

The production lasts for 10 minutes, and is done entirely in stereoscopic 3D, featuring a medley of songs from the different DX movies, as well as some brand new songs. The dance production itself was released in movie theatres on 5 August 2011, accompanied by the release of a brand new single, Pretty Cure All Stars 3D Theatre Theme Song Single. The movie starts when a pink shooting star falls down from the night sky and soughts out a toy store, striking one of the Cure Dolls of Melody on display. The Melody Doll comes alive, freeing herself from her box. Jumping to the floor, she explores the toy store when she hears the noise of a crowd coming from outside. Running out of the store, she discovers a huge TV screen which reflects a ""real-life"" image of herself. Playing around with it, she is soon joined by a Cure Doll of Rhythm. The two spot Hummy, waiting several floors down on the dance floor, who waved at them and sends up two rainbow keyboards to the Cure Dolls. Nodding to each other, the two slide down the keyboard onto the dance floor, and the concert began. The concert ends with a shot of the huge TV screen shown during the introduction. The 3 Suite♪ Cures are seen smiling and waving at the audience, and as the shot zoomed out, the 3 Cure Dolls are shown at the bottom of the screen.

(Source: Pretty Cure Wiki)"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.48,"After a year in America, Kurisu Makise returns to Akihabara and reunites with Rintarou Okabe. However, their reunion is cut short when Okabe begins to experience recurring flashes of other timelines as the consequences of his time traveling start to manifest. These side effects eventually culminate in Okabe suddenly vanishing from the world, and only the startled Kurisu has any memory of his existence.

In the midst of despair, Kurisu is faced with a truly arduous choice that will test both her duty as a scientist and her loyalty as a friend: follow Okabe's advice and stay away from traveling through time to avoid the potential consequences it may have on the world lines, or ignore it to rescue the person that she cherishes most. Regardless of her decision, the path she chooses is one that will affect the past, the present, and the future.

[Written by MAL Rewrite]"
11579,Jubilee,5.17,A music video by Koji Yamamura.
11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,6.54,"Music video included with KamiNomi OVA's theme single, Natsuiro Surprise."
11589,Puu-Neko Shougekijou,,Retitled second part of Puu-Neko.
11593,Ganbare! Bokura no Hit and Run,,"Inaba Junior High School's baseball team has been defeated miserably since the senior members left. Because of their poor results, the players are suspended from games and are almost forced to break up. Ironically, however, this hardship makes them band tighter together and intensifies their desire to play. They practice hard in the hope of regaining the respect of the other students and teachers. Soon, their will-power leads them to unbelievable victories. This story portrays the boys' dreams and friendship through baseball.

(Source: Official website)"
11595,Perman (1983),6.47,"Mitsuo encountered Superman, an alien who is a part of a federation that tries to maintain peace in the galaxy. He then received a helmet (that also serves as a mask) that gives superhuman strength, a cape that enables the wearer to fly, and a badge that allows him to breathe underwater and communicate with his fellow comrades whom he met soon after he utilized these gifts. Superman made it clear to all Permans that their identity must be kept a secret or their brain will be destroyed should it ever be revealed and they are given a special doppelganger robot that can replace them while they are away to achieve this feat, although it is not entirely foolproof nor is it free from potential problems. These equipments then allowed them to be young Permans who try to maintain peace and help the people who are in need.

(Source: ANN)"
11597,Nisemonogatari,8.17,"Surviving a vampire attack, meeting several girls plagued by supernatural entities, and just trying to get through life are some of the things high school student Koyomi Araragi has had to deal with lately. On top of all this, he wakes up one morning to find himself kidnapped and tied up by his girlfriend Hitagi Senjougahara. Having run afoul of Deishuu Kaiki, a swindler who conned Senjougahara's family, she has taken it upon herself to imprison Araragi to keep him safe from the con man. But when Araragi gets a frantic message from his sister Karen, he learns that the fraud has set his sights on her.

Along with Karen's troubles, his other sister, Tsukihi, is having issues of her own. And when two mysterious women who seem to know more than they should about Araragi and his special group of friends step into their lives, not even he could anticipate their true goals, nor the catastrophic truths soon to be revealed.

[Written by MAL Rewrite]"
11609,"Sono Toki, Shimakou ga Ugoita!",,"Shuukan Shimakou is about a life of a Japanese white-collar worker salaryman, Shima Kosaku. "
11611,Shuukan Shimakou Special,,Preview episode aired online.
11615,Morita-san wa Mukuchi. 2,6.67,The second season of Morita-san wa Mukuchi that directly follows the first.
11617,High School DxD,7.37,"High school student Issei Hyoudou is your run-of-the-mill pervert who does nothing productive with his life, peeping on women and dreaming of having his own harem one day. Things seem to be looking up for Issei when a beautiful girl asks him out on a date, although she turns out to be a fallen angel who brutally kills him! However, he gets a second chance at life when beautiful senior student Rias Gremory, who is a top-class devil, revives him as her servant, recruiting Issei into the ranks of the school's Occult Research club.

Slowly adjusting to his new life, Issei must train and fight in order to survive in the violent world of angels and devils. Each new adventure leads to many hilarious (and risqué) moments with his new comrades, all the while keeping his new life a secret from his friends and family in High School DxD!

[Written by MAL Rewrite]"
11625,Donbe Monogatari,,"Researcher Mutsugoro takes his family to a remote and uninhabited island near Hokkaido, to study the local population of wild bears. Nearby poachers make his life difficult, and he ""inherits"" an orphaned bear cub, whom the family call Donbe and raise as one of their own."
11633,Blood Lad,7.31,"Staz Charlie Blood is a powerful vampire who rules the Eastern district of Demon World. According to rumors, he is a bloodthirsty and merciless monster, but in reality, Staz is just an otaku obsessed with Japanese culture and completely uninterested in human blood. Leaving the management of his territory to his underlings, Staz spends his days lazing around, indulging in anime, manga, and games.

When Fuyumi Yanagi, a Japanese girl, accidentally wanders through a portal leading into the demon world, Staz is overjoyed. But just as he is starting to feel an unusual attraction to her, his territory is attacked, resulting in Fuyumi's untimely death. She turns into a wandering ghost and the crestfallen Staz vows to resurrect her as this would mean being able to travel to the human world, something he has always dreamed of.

Blood Lad follows Staz and Fuyumi, soon joined by the spatial magician Bell and the half-werewolf Wolf, as they travel to find a magic that can bring humans back to life.

[Written by MAL Rewrite]"
11635,Sacred Seven: Shirogane no Tsubasa,6.65,A recap special that will feature the battles of Alma and Knight. The past story of Knight will be described with new animations.
11659,Pink Mizu Dorobou Ame Dorobou,5.56,The plot is about a young girl named Pink who is a bandit in the desert who steals water from the Silver Company.
11661,Robo to Shoujo (Kari),5.53,"Bomahead is about a girl and a robot who live in a junkyard. The robot claims he wants to fight for justice with hero-like abilities, but everything always turns out wrong. The mystery behind the girl and the robot are unraveled through a rapid succession of unexpected turn of events."
11663,Hakuouki OVA,7.44,"Two short OVA of Hakuouki distributed to those who purchased all six volumes of the DVD. A fandisc game ""Hakuoki Zuisouroku"" and an official parody ""Hakuoki SSL (a high school parody)"" were animated."
11665,Natsume Yuujinchou Shi,8.66,"Takashi Natsume, the timid youkai expert and master of the Book of Friends, continues his journey towards self-understanding and acceptance with the help of friends both new and old. His most important ally is still his gluttonous and sake-loving bodyguard, the arrogant but fiercely protective wolf spirit Madara—or Nyanko-sensei, as Madara is called when in his usual disguise of an unassuming, pudgy cat.

Natsume, while briefly separated from Nyanko-sensei, is ambushed and kidnapped by a strange group of masked, monkey-like youkai, who have spirited him away to their forest as they desperately search for the Book of Friends. Realizing that his ""servant"" has been taken out from right under his nose, Nyanko-sensei enlists the help of Natsume's youkai friends and mounts a rescue operation. However, the forest of the monkey spirits holds many dangerous enemies, including the Matoba Clan, Natsume's old nemesis.

Stretching from the formidable hideout of the Matoba to Natsume's own childhood home, Natsume Yuujinchou Shi is a sweeping but familiar return to a world of danger and friendship, where Natsume will finally confront the demons of his own past.

[Written by MAL Rewrite]"
11673,Hal no Fue,,"The story follows a racoon-like tanuki creature named Hal who find an abandoned human baby. Hal names the baby Pal and decides to transform into a human mother to raise him.

(Source: ANN)"
11679,Chainsaw Maid,4.97,"A family and their maid are going about their daily lives when, unexpectedly, a woman bursts into their home shouting, ""They're coming!"" She then vomits out her organs, turns into a zombie, and attacks the master of the house. The maid saves her employer, but he and his daughter are stunned and have difficulty processing the events. As more and more zombies invade the residence, the maid decides it is her duty to defend the house from unwanted guests—using a chainsaw!

[Written by MAL Rewrite]"
11681,Tetsu no Ko Kanahiru,,"There came a time when iron vanished from Okinawa.

A Cana baby called Kanahiru arrived at the shores of Okinawa. He was from a far away land called Iron Hills. A place far beyond the seas.  He was baffled by the deformity of Gana Hill, even teased the citizens, but he decided to stay.

Years later ferocious demons capture Gana Hill and take Kanahiru to the demon island."
11685,Takarajima Memorial: Yuunagi to Yobareta Otoko,6.52,"A short story during Jim's adventure at sea. He encounters a man at a bar who told a tail about a one-legged man. Thinking it's Silver who the man is referring too, Jim later asked him for details. The man told Jim that, near the coast Maratoran, Silver left the ship they were on  went to the island on a small boat. Jim, who couldn't go at the time, left for Maratoran six years later. He met Silver's wife and son there."
11687,Pussycat,4.16,A pretty female cat gets into trouble. What's gonna happen? It's a sexy and violent sexploitation clay-animation! 
11689,CCW: Crazy Clay Wrestling,3.54,"An intense wrestling match takes place between Yellow and Orange. Pulling out all the stops, they attack each other with all they have—German suplexes, snaps, groin kicks, tosses, and headlocks are all fair game. Only the side that can pin down the other for three seconds will be the winner, and they will both go all-out to seize the prize!

[Written by MAL Rewrite]"
11691,Bloody Date,4.16,"While enjoying their first date, a young couple experiences a nasty surprise when they're interrupted by an axe-wielding murderer! The girl manages to escape and finds refuge in a strange family's house, where she urges the people inside to call the police. However, she is knocked out and awakens inside a nightmarish room. Her real struggle for survival is only just beginning!

[Written by MAL Rewrite]"
11693,Match Uri no Shoujo,6.02,"A little girl tries to sell matches on a cold December night with no luck. To keep from freezing she lights one match and sees a wondrous vision...

This theatrical release was based on a Hans Christian Andersen's story. "
11695,Ultraman Graffiti,,Super deformed Ultraman shorts 
11697,Area no Kishi,7.21,"Kakeru and Suguru are brothers who both have a flaming passion for soccer. However, while Suguru becomes a rising star in the Japanese youth soccer system, Kakeru decides to take on a managerial role after struggling on the field. But due to a cruel twist of fate, Kakeru ends up reevaluating the role he has chosen.

In hopes of one day being able to enter the World Cup by becoming a member of the national team, Kakeru trains harder than anyone else. He isn’t alone in this quest for glory, though. Kakeru's childhood friend, Nana, is a soccer prodigy of her own, with the wicked nickname “Little Witch”. She is a top-ranked player and is already playing for Nadeshiko Japan, the Japanese women’s national team. Nana's success gives Kakeru the extra push he needs to reach for his goals.

Soccer and adolescent fervor combine for an epic, emotional ride. Check it out for yourself in Area no Kishi!"
11699,Yurumates wa?,6.28,"Aida Yurume is a ronin student who came to Tokyo to prepare for university entrance exam. But the place was a back district, where the address Tokyo is so ill-fitting. The residents of the apartment are Kawano Sae, a veteran ronin with straight-man character, Tanaka Kumi, an innocent-looking girl and Matsukishi, a young man looking twice as his age. The story depicts their slow and comfortable life of preparing for university.

(Source: AniDB)"
11701,Another: The Other - Inga,7.3,"Shortly before the start of a new semester, Misaki Fujioka visits her twin sister Mei Misaki in Yomiyama City. The girls make full use of the last days of summer, roaming around a heat-weary town and visiting various places including a shopping center and shooting stall. When they prowl around her basement, Mei expresses uneasiness about her new class, which is said to be cursed.

Craving more entertainment, the twins decide to pay a visit to the local amusement park. But the leisure of a sleepy summer day could soon turn woeful as Mei sees the color of death on her sister—an unmistakable omen that a tragedy is bound to strike.

[Written by MAL Rewrite]"
11703,Code:Breaker,6.78,"Although cheerful and delicate, Sakura Sakurakouji is a skilled martial artist with a sense of fairness that never falters—no matter the situation. Upon witnessing people burning in blue flames while on a bus ride home, she calls the police to bring their murderer to justice only to find that no evidence remains. However, all her doubts about what she saw vanish when the next day, the new transfer student Rei Oogami joins her class; he is the very boy she watched commit murder in cold blood.

Rei is kind, sweet, and quickly becomes popular, contradicting Sakura's accusations. Soon enough, she learns his true nature: a Code Breaker, or ""one who does not exist."" To Sakura's shock, Rei—armed with mysterious powers—seeks to exact justice according to the principle of ""an eye for an eye."" Determined to bring Rei to the right path, Sakura keeps close to him in the hopes of redeeming him from his ways before others are hurt.

[Written by MAL Rewrite]"
11705,Dragon Age: Blood Mage no Seisen,6.1,"In a time of darkness and barbarism, the Chantry has arisen - a religious order seeking to bring stability to a world corrupted by sinister magic. Led by the Divine, the Chantry's Templar warriors ruthlessly restrain the Mages and their magical cabals. But when the Templars fail, the most elite order of the Chantry takes charge - the Seekers!

(Source: AniDB)"
11711,Me wo Samase Toragorou,,"There lived a tiger in the bamboo forest on the top of the mountain. He went by the name of ""Tigger"". Tigger the tiger was the Tiger of tigers.
He was a lazy fellow always thinking of Nikuman (a dumpling).

Then, there came the Hunter. With a bang, he shot and killed the animals. He thought there were no threat to man in the world. 

But he had come to wake to Tigger, the Wild Tiger!

(Source: Official website)"
11713,Suisenzuki no Yokka,,"When Narcissus's begin to bloom, 
Spring is just around the corner.
But today is the fourth of the Narcissus Month, 
the day of Winter's last icy breath...

The original story of this film was written by Kenji Miyazawa, the most famous fairy-tale writer and poet in Japan.

(Source: Official website)"
11715,Kamisama Dolls Specials,5.92,Short episodes included in the Kamisama Dolls Blu-ray and DVD volumes.
11717,Hoshi no Kirby: Pilot,5.65,"Pilot episode for Kirby: Right Back At Ya!

The episode begins with a mysterious pink creature, Kirby, crash landing his starship on a foreign planet, Popstar. "
11729,Space Neko Theater,5.3,"Cat lovers by cat-lover, love for cats, which are animated omnibus CM and assortment of fictional programs."
11731,Chi-Sui Maru Specials,,An non-broadcasted episode and a new episode included in the DVD release for the first season of TV series.
11733,Chi-Sui Maru 2nd Season,,"The battle continues between Chi-Sui Maru, a mosquito, and Nobuo, a common office worker."
11735,Coluboccoro,5.63,"A sci-fi, eco-conscious fantasy about a 14-year-old heroine, Suzu, a descendant of a distinguished shaman who saved people from catastrophe in the past. Suzu sets out on a journey, along with the spirit of nature, Coluboccoro, to regain peace and nature to the ruined villages.　

(Source: anime-innovation.jp)"
11737,Ao no Exorcist Movie,7.62,"The atmosphere in True Cross Academy is lively and boisterous in the days leading up to the grand festival held once every 11 years. During this time, Okumura Rin is entrusted with the responsibility of suppressing the berserk Phantom Train. In the midst of his mission, he meets a devil whose appearance is that of a young boy.

(Source: Official Site)"
11739,Kimi to Boku. 2,7.97,"""No matter how many years go by, I'm sure we'll still be laughing together."" 

Twins Yuta and Yuki, Kaname, and Shun have been childhood friends since kindergarten. When transfer student Chizuru joins them, their five man school life becomes all the more lively. Through the changing seasons, the boys will find laughter, surprises, love, and new encounters waiting for them. 

The second season of the boys growing a little every day of their invaluable daily lives is about to begin! 

(Source: Crunchyroll) "
11741,Fate/Zero 2nd Season,8.59,"As the Fourth Holy Grail War rages on with no clear victor in sight, the remaining Servants and their Masters are called upon by Church supervisor Risei Kotomine, in order to band together and confront an impending threat that could unravel the Grail War and bring about the destruction of Fuyuki City. The uneasy truce soon collapses as Masters demonstrate that they will do anything in their power, no matter how despicable, to win.

Seeds of doubt are sown between Kiritsugu Emiya and Saber, his Servant, as their conflicting ideologies on heroism and chivalry clash. Meanwhile, an ominous bond forms between Kirei Kotomine, who still seeks to find his purpose in life, and one of the remaining Servants. As the countdown to the end of the war reaches zero, the cost of winning begins to blur the line between victory and defeat.

[Written by MAL Rewrite]"
11743,Toaru Majutsu no Index Movie: Endymion no Kiseki,7.48,"In the scientifically advanced Academy City, a miracle is about to occur: the completion of the world's first space elevator, ""Endymion."" Meanwhile, a certain high school student, Touma Kamijou, and his companion Index are going about their daily lives when they encounter and befriend Arisa Meigo, a cheerful and ambitious singer. When strange occurrences begin taking place throughout the city, they lead to the discovery of an intricate plot surrounding Arisa and Endymion. Things only get more complicated when the Stiyl Magnus appears, signifying that the magical world is somehow involved too...

[Written by MAL Rewrite]"
11745,Aku no Onna Kanbu,6.66,"A princess is punished by her servant by being taken over by a spell that makes her obey his every command. 

The princess is forced to have sex and masturbate in front of him while he tries to claim her throne. "
11747,Kiriya Hakushaku Ke no Roku Shimai,6.71,"One day, Daisuke, a reporter, visits an old Western house on the hill. There are Sumi, the owner of the house, and her five daughters. ""You are a selected man. Yes, you can make a baby with my daughters and get everything here...."" Though Daisuke still can't believe it, he starts staying at her house. Erotic and deep relationship with the sisters.... What is the secret of this house? What will happen to Daisuke?

(Source: Eroge Shop)"
11749,Oshioki: Gakuen Reijou Kousei Keikaku,6.35,"My name is Shimohei Joutarou. There is a reason that I'm here, at my new place of work, despite the fact that the school year hasn't started.

On that first day, I almost immediately came across Mitsuki's and Minami's secret. I then heard about Mahiru, younger sister of Classics teacher Kuji Hinako, and the astonishing improvement of her grades. I then discover indications of Hinako's backdoor maneuverings.

Now, it is up to me to rehabilitate these students who break the rules.

(Source: translated and adapted from official site by Cranston)"
11751,Senki Zesshou Symphogear,7.02,"Tsubasa Kazanari and Kanade Amou—the idol duo known as Zwei Wing—use their songs to power ancient weapons known as ""symphogears"" to combat a deadly alien race called the ""Noise."" While the general public is aware of the Noise's existence, knowledge of the symphogears are kept a secret. When the Noise attack one of Zwei Wing's concerts, Kanade sacrifices herself to protect a young girl named Hibiki Tachibana, leaving Tsubasa devastated and a fragment of her symphogear embedded within Hibiki.

Two years pass and Hibiki is once again dragged into a Noise attack. While rescuing a young girl who has been left behind during the evacuation, she awakens the power of Kanade's symphogear lying within her. Although Tsubasa still grieves over the loss of Kanade, both girls must now learn to work together using their powers to defend humanity against the Noise.

[Written by MAL Rewrite]"
11755,009 Re:Cyborg,6.51,"Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fight against their creators in the name of justice and world peace. Decades later, the nine cyborgs seem to be untouched by time, but they live in a world where ""justice"" has as many nuances as the number of people living on the planet. What is their place in the world now? 

""In the beginning was the Voice, and the word was Him; and all obeyed His word in great awe. But those who dwelt upon the land, through vanity, cunning and greed, attempted to build a multitude of towers whose tops reached unto heaven, and accumulated great wealth on earth. Scattering across the land and laying it to waste, man turned a deaf ear to His Voice. So He gave unto man an opportunity to atone for his misdeeds; and flame and smoke and the roar of a lion descended upon earth; and shattered the many towers to dust...."" 

(Source: Production I.G Official Website) "
11757,Sword Art Online,7.22,"In the year 2022, virtual reality has progressed by leaps and bounds, and a massive online role-playing game called Sword Art Online (SAO) is launched. With the aid of ""NerveGear"" technology, players can control their avatars within the game using nothing but their own thoughts.

Kazuto Kirigaya, nicknamed ""Kirito,"" is among the lucky few enthusiasts who get their hands on the first shipment of the game. He logs in to find himself, with ten-thousand others, in the scenic and elaborate world of Aincrad, one full of fantastic medieval weapons and gruesome monsters. However, in a cruel turn of events, the players soon realize they cannot log out; the game's creator has trapped them in his new world until they complete all one hundred levels of the game.

In order to escape Aincrad, Kirito will now have to interact and cooperate with his fellow players. Some are allies, while others are foes, like Asuna Yuuki, who commands the leading group attempting to escape from the ruthless game. To make matters worse, Sword Art Online is not all fun and games: if they die in Aincrad, they die in real life. Kirito must adapt to his new reality, fight for his survival, and hopefully break free from his virtual hell.

[Written by MAL Rewrite]"
11759,Accel World,7.29,"Haruyuki Arita is an overweight, bullied middle schooler who finds solace in playing online games. But his life takes a drastic turn one day, when he finds that all his high scores have been topped by Kuroyukihime, the popular vice president of the student council. She then invites him to the student lounge and introduces him to ""Brain Burst,"" a program which allows the users to accelerate their brain waves to the point where time seems to stop. Brain Burst also functions as an augmented reality fighting game, and in order to get more points to accelerate, users must win duels against other players. However, if a user loses all their points, they will also lose access to Brain Burst forever.

Kuroyukihime explains that she chose to show Haruyuki the program because she needs his help. She wants to meet the creator of Brain Burst and uncover the reason of why it was created, but that's easier said than done; to do so, she must defeat the ""Six Kings of Pure Color,"" powerful faction leaders within the game, and reach level 10, the highest level attainable. After the girl helps Haruyuki overcome the bullies that torment him, he vows to help her realize her goal, and so begins the duo's fight to reach the top.

[Written by MAL Rewrite]"
11761,Medaka Box,7.06,"Medaka Kurokami is, in the truest sense of the word, perfect. Beautiful, intelligent, and athletic, Medaka's dream is to make others happy. So when she runs for Student Council President of the prestigious Hakoniwa Academy, winning the election with 98% of the votes is only to be expected. 

The very first thing the boisterous new president does is set up the ""Medaka Box,"" a suggestion box allowing students to submit any kind of request for assistance. Together with the cynical Zenkichi Hitoyoshi, her childhood friend who has been strong-armed into helping, Medaka fulfills these requests at a ridiculous rate. For every job completed, she adds flowers to the student council room, with the aim of filling the entire school. However, the two are about to find out that helping others may be a lot harder than they think as they begin to uncover a devastating plan centering on the academy and even Medaka herself!

[Written by MAL Rewrite]"
11763,Sekai de Ichiban Tsuyoku Naritai!,5.8,"Hagiwara Sakura and Miyazawa Elena are the leading members of a popular idol group, Sweet Diva. One day, Elena is injured by the attack of a female pro-wrestler Kazama Rio during the recording of a TV program. Sakura gets mad at Rio and gives her a dropkick. To avenge Elena, Sakura enters the female pro-wrestling matches."
11767,Justeen,,"The story is set in the future when a new threat attacks humans just as they are expanding their presence into space. Now, an enigmatic entity from 17 years ago has been set free, and the name of the entity is Justeen."
